stock,price,sim1_direction,sim2_direction,sim3_direction,sim4_direction,sim5_direction,RSI,RSIRev,fair_value_mult,geomean,sharpe
EWT,107.2699966430664,0,0,0,0,0,0.5496397117694155,0.4503602882305845,0.8132961783439491,0.9891122278056952,0.966359536567625
EWY,189.85000610351562,0,0,0,0,0,0.3574859887910328,0.6425140112089671,0.17078025477707007,0.9334170854271356,0.6660811755006553
EXC,47.04999923706055,1,1,1,1,1,0.5700560448358687,0.4299439551641313,0.5883757961783439,0.3639028475711893,0.5204464802104205
EXE,88.88999938964844,1,1,1,1,1,0.26547352721849365,0.7345264727815064,0.35202952029520296,0.06742485783915515,0.6684919837414866
EXPD,165.6999969482422,1,1,1,1,1,0.6893514811849479,0.31064851881505207,0.6747611464968153,0.768425460636516,0.6578782097293312
EXPE,266.760009765625,1,1,1,1,1,0.8046437149719776,0.19535628502802238,0.9267515923566879,0.7181742043551089,0.4408822203523797
F,13.829999923706055,0,0,0,0,0,0.33827061649319456,0.6617293835068054,0.214171974522293,0.4367671691792295,0.3500611696002418
FANG,173.72999572753906,0,0,0,0,0,0.055644515612489995,0.94435548438751,0.10270700636942676,0.39865996649916247,0.44554283998133265
FAST,48.310001373291016,1,1,1,1,1,0.7818254603682946,0.2181745396317054,0.7738853503184714,0.6490787269681743,0.780591376971745
FCX,61.0,0,0,0,0,0,0.2321857485988791,0.7678142514011209,0.1807324840764331,0.36809045226130654,0.6245922469749315
FDS,252.1999969482422,1,1,1,1,1,0.7373899119295436,0.2626100880704564,0.9928343949044586,0.6943048576214406,0.3419174551869189
FDX,309.92999267578125,0,0,0,0,0,0.2365892714171337,0.7634107285828663,0.12062101910828026,0.7378559463986599,0.49658092637463264
FE,47.709999084472656,1,1,1,1,1,0.5188150520416333,0.48118494795836675,0.572452229299363,0.3362646566164154,0.41723864147751777
FICO,1286.510009765625,1,1,1,1,1,0.8078462770216173,0.19215372297838273,0.9749203821656051,0.3408710217755444,0.825407019940317
FIS,41.27000045776367,1,1,1,1,1,0.6212970376301041,0.37870296236989587,0.9136146496815286,0.032663316582914576,0.01654553390219176
FISV,51.779998779296875,1,1,1,1,1,0.4399519615692554,0.5600480384307446,0.7969745222929936,0.12144053601340034,0.1608901905468347
FITB,57.88999938964844,1,1,1,1,1,0.9703763010408326,0.02962369895916739,0.9434713375796179,0.8379396984924623,0.620147567081315
FIVN,24.100000381469727,1,1,1,1,1,0.8690952762209768,0.13090472377902318,0.9828821656050956,0.9187604690117253,0.39462118859456635
FIX,1793.030029296875,0,0,0,0,0,0.22457966373098479,0.7754203362690152,0.07125796178343949,0.8086264656616415,1.168983424282166
FN,500.75,0,0,0,0,0,0.08126501200960769,0.9187349879903923,0.009952229299363057,0.09296482412060302,0.7876750530060294
FND,56.84000015258789,1,1,1,1,1,0.6749455337690632,0.3250544662309368,0.6686877436119533,0.39725400457665905,0.3725309265744185
FNV,212.77000427246094,1,1,1,1,1,0.3210568454763811,0.6789431545236189,0.2710987261146497,0.052345058626465664,0.5216517204447
FOX,49.900001525878906,0,0,1,0,0,0.2949561403508772,0.7050438596491229,0.8220892274211099,0.0927654609101517,0.3088264186292009
FOXA,55.869998931884766,1,1,1,1,1,0.3271232876712329,0.6728767123287671,0.9015769439912996,0.12244897959183673,0.36711330806630044
FPS,47.5,0,0,0,0,0,0.02247191011235955,0.9775280898876404,0.04854368932038835,0.03773584905660377,1.8888475711852828
