Date,mine1,mine2
2019-10-14,197.52091782022967,3.972117824362864
2019-10-15,200.69754651030135,4.0381527505092984
2019-10-16,198.97131822728937,3.9581076370410493
2019-10-17,200.22766719274628,3.9708298356519807
2019-10-18,197.68500812411094,3.9079934882243608
2019-10-21,198.93507417226496,3.943427543521986
2019-10-22,198.1227775252761,3.8609480289235276
2019-10-23,199.0255178650286,3.891134420730974
2019-10-24,201.77567689004812,3.9488540433848835
2019-10-25,203.8925406136853,3.9952271583204766
2019-10-28,205.24534830409377,4.020201612633381
2019-10-29,204.2686293430736,3.9984984748826844
2019-10-30,205.2283501230505,3.9958956266667367
2019-10-31,204.01789200754837,4.001302430671626
2019-11-01,205.9998951413431,4.042479020316546
2019-11-04,206.1452923801915,4.042111626192838
2019-11-05,204.95462572702803,4.00909368270556
2019-11-06,204.34500481637693,3.9998452998726752
2019-11-07,204.06233585621283,3.997498988347632
2019-11-08,207.08957288522092,4.0779019758490715
2019-11-11,206.75944669546107,4.094965885467229
2019-11-12,207.90980301613155,4.123531538465053
2019-11-13,208.58968979059134,4.138745334433004
2019-11-14,208.92193997509375,4.161167809477044
2019-11-15,211.88412035036168,4.193959256939427
2019-11-18,211.8310469059991,4.197272169333476
2019-11-19,212.37132052702535,4.2158213109931895
2019-11-20,214.574744525727,4.264598566121794
2019-11-21,212.84313306035463,4.233923414445813
2019-11-22,213.29216215837923,4.233728130929852
2019-11-25,216.82373210295603,4.33399589613633
2019-11-26,217.83062327234558,4.346251553921369
2019-11-27,219.2536099243422,4.387088839018591
2019-11-29,219.46939401965741,4.365857458595075
2019-12-02,215.9303215991766,4.281258921619924
2019-12-03,216.21439281690672,4.306504957763214
2019-12-04,216.4223133030589,4.317947813603595
2019-12-05,215.56247292292096,4.285568732880764
2019-12-06,217.5697019578506,4.318268475078542
2019-12-09,214.8056297439622,4.269705151176464
2019-12-10,215.04720384499163,4.260331783084264
2019-12-11,215.7139551049372,4.255036311479705
2019-12-12,217.0199490399651,4.264606196985711
2019-12-13,218.2318922847317,4.293258536006257
2019-12-16,221.0194988401368,4.337322615838467
2019-12-17,219.40024017946965,4.308821521855961
2019-12-18,218.52779625305345,4.295147341291312
2019-12-19,219.7548366950422,4.321593954963953
2019-12-20,219.79982578516956,4.326670156447947
2019-12-23,220.8774472000168,4.358802615064071
2019-12-24,221.22398568351,4.381803289178441
2019-12-26,221.99615991376174,4.396410425202939
2019-12-27,289.23112800990697,4.387214827109111
2019-12-30,288.22136188563394,4.3561992354697265
2019-12-31,288.88383838470975,4.37348632196483
2020-01-02,292.0658535031253,4.424464437636623
2020-01-03,297.98128481857384,4.4025194240509595
2020-01-06,299.82086831275075,4.4426764913207375
2020-01-07,300.62809204460353,4.456893072485228
2020-01-08,300.4523386059637,4.484469398994345
2020-01-09,304.03999310234923,4.557712283118214
2020-01-10,304.3980872070224,4.580207677130452
2020-01-13,306.76903695212945,4.641486345076755
2020-01-14,306.2915193307144,4.623953315411069
2020-01-15,307.0252264845277,4.635109759320164
2020-01-16,309.3737107117114,4.685915048007142
2020-01-17,309.3680922051732,4.686841656862001
2020-01-21,309.2523997016618,4.719194072443454
2020-01-22,308.9973260391677,4.726589162319334
2020-01-23,307.37653513597496,4.731361148343433
2020-01-24,304.80504687645816,4.697764487462354
2020-01-27,301.7007888921247,4.635951310997268
2020-01-28,304.1864207142341,4.712739574591718
2020-01-29,302.92515954862836,4.658968797186015
2020-01-30,302.64511709009486,4.6796868863488585
2020-01-31,298.9956327884699,4.602771306297494
2020-02-03,300.27941685981165,4.6719615350553365
2020-02-04,308.02009633753516,4.819422776247986
2020-02-05,307.03553468476514,4.761477285764007
2020-02-06,307.7765479384093,4.786298018258527
2020-02-07,304.62393546031086,4.753106404478779
2020-02-10,307.7361855045006,4.813563349945716
2020-02-11,308.55640277429166,4.83575512758466
2020-02-12,311.606170431272,4.906673304414328
2020-02-13,312.94153777628947,4.920168845370301
2020-02-14,312.83690813018507,4.945641476484892
