stock,price,direction,RSI,RSIRev,fair_value_mult,geomean,sharpe,weighted_sharpe
META,318.2900085449219,0,0.18185451638689049,0.8181454836131095,0.1907790143084261,0.4092809364548495,0.6959180494966127,2.7024247497847376
MICS,1.159999966621399,1,0.8029576338928857,0.19704236610711434,0.712241653418124,0.5056438127090301,0.412452411462087,0.28882013317603605
MNST,54.2599983215332,1,0.36370903277378097,0.636290967226219,0.3016693163751987,0.33904682274247494,0.7037026140997018,1.2642200907817256
MOBQ,0.3499999940395355,0,0.09512390087929656,0.9048760991207034,0.07352941176470588,0.008779264214046822,0.32377478100015966,0.7999888178860602
MOH,367.0,0,0.6578737010391686,0.34212629896083135,0.6554054054054054,0.7445652173913043,0.8272648538379718,1.6054329408922356
MPC,148.9199981689453,0,0.4008792965627498,0.5991207034372502,0.8565182829888712,0.6885451505016722,0.5856228758162795,0.7799025945334884
MPWR,553.3900146484375,1,0.8041566746602717,0.19584332533972826,0.9439586645468998,0.6839464882943144,0.9144426503227784,3.3288761832877816
MSCI,523.4299926757812,1,0.5355715427657873,0.46442845723421267,0.8414149443561209,0.2654682274247492,1.0152591176687746,3.2993099875333862
MSFT,372.5199890136719,1,0.5715427657873701,0.42845723421262993,0.8449920508744038,0.4753344481605351,1.0404499927389792,3.7233140751216425
MTCH,32.31999969482422,1,0.39928057553956836,0.6007194244604317,0.708664546899841,0.19732441471571907,0.40084717331918074,2.46334058165813
MTDR,55.93000030517578,0,0.145083932853717,0.854916067146283,0.2901430842607313,0.3269230769230769,0.5113247743015124,0.5290994578753062
MUSA,365.1099853515625,0,0.39568345323741005,0.60431654676259,0.49523052464228934,0.6605351170568562,0.8525828167986345,1.2973911697053067
NET,77.94999694824219,1,0.873453853472883,0.12654614652711704,0.784037558685446,0.5185972369819342,0.8364401563978464,3.469061078362406
NFLX,455.1499938964844,0,0.4984012789768185,0.5015987210231815,0.4666136724960254,0.5255016722408027,0.7196541888392423,2.478791208743165
NKE,115.41000366210938,1,0.9740207833733013,0.025979216626698665,0.9860890302066773,0.8344481605351171,0.5548030434038026,1.862444031521561
NOW,688.219970703125,1,0.9728217426059153,0.02717825739408475,0.8187599364069952,0.649247491638796,0.8418176943608753,2.7267256993007245
NSIT,171.25,1,0.9932054356514788,0.006794564348521215,0.9852941176470589,0.5932274247491639,0.737278175299608,1.520519501031605
